c,x,y,w,h,d,t
4,0,0,0,0,2020-03-03,00:23:42.914250
4,0,0,0,0,2020-03-03,00:23:42.986057
4,0,0,0,0,2020-03-03,00:23:43.098758
4,0,0,0,0,2020-03-03,00:23:43.180536
4,0,0,0,0,2020-03-03,00:23:43.250352
4,0,0,0,0,2020-03-03,00:23:43.320162
4,0,0,0,0,2020-03-03,00:23:43.391970
4,0,0,0,0,2020-03-03,00:23:43.475746
4,0,0,0,0,2020-03-03,00:23:43.565510
4,0,0,0,0,2020-03-03,00:23:43.642301
4,0,0,0,0,2020-03-03,00:23:43.721093
4,39,59,50,50,2020-03-03,00:23:43.808858
4,126,64,52,52,2020-03-03,00:23:43.808858
4,30,66,48,48,2020-03-03,00:23:43.898616
4,0,0,0,0,2020-03-03,00:23:44.013309
4,135,74,54,54,2020-03-03,00:23:44.114042
4,179,92,31,31,2020-03-03,00:23:44.202804
4,141,72,48,48,2020-03-03,00:23:44.305527
4,144,82,45,45,2020-03-03,00:23:44.400273
4,135,70,49,49,2020-03-03,00:23:44.486046
4,136,72,48,48,2020-03-03,00:23:44.581788
4,175,94,36,36,2020-03-03,00:23:44.581788
4,134,68,48,48,2020-03-03,00:23:44.687505
4,134,69,46,46,2020-03-03,00:23:44.772277
4,142,76,50,50,2020-03-03,00:23:44.870022
4,57,75,47,47,2020-03-03,00:23:44.981722
4,140,76,51,51,2020-03-03,00:23:44.981722
4,137,79,53,53,2020-03-03,00:23:45.174211
4,178,105,32,32,2020-03-03,00:23:45.174211
4,145,78,46,46,2020-03-03,00:23:45.288898
4,145,77,48,48,2020-03-03,00:23:45.402592
4,144,82,48,48,2020-03-03,00:23:45.534240
4,190,103,23,23,2020-03-03,00:23:45.534240
4,0,0,0,0,2020-03-03,00:23:45.694811
4,143,74,49,49,2020-03-03,00:23:45.820474
4,150,81,46,46,2020-03-03,00:23:45.944142
4,143,80,50,50,2020-03-03,00:23:46.073796
4,146,79,52,52,2020-03-03,00:23:46.207438
4,155,87,44,44,2020-03-03,00:23:46.371001
4,0,0,0,0,2020-03-03,00:23:46.571465
4,192,104,25,25,2020-03-03,00:23:46.694139
4,145,77,49,49,2020-03-03,00:23:46.817806
4,144,82,51,51,2020-03-03,00:23:46.930506
4,151,86,49,49,2020-03-03,00:23:47.057165
4,135,75,45,45,2020-03-03,00:23:47.167876
4,145,79,46,46,2020-03-03,00:23:47.257632
4,186,104,35,35,2020-03-03,00:23:47.348387
4,147,83,50,50,2020-03-03,00:23:47.348387
4,139,74,50,50,2020-03-03,00:23:47.460088
4,146,86,47,47,2020-03-03,00:23:47.561816
4,136,76,44,44,2020-03-03,00:23:47.646603
4,144,83,43,43,2020-03-03,00:23:47.785220
4,143,85,46,46,2020-03-03,00:23:47.889936
4,182,102,36,36,2020-03-03,00:23:47.889936
4,0,0,0,0,2020-03-03,00:23:47.992662
4,0,0,0,0,2020-03-03,00:23:48.073449
4,170,90,37,37,2020-03-03,00:23:48.151241
4,0,0,0,0,2020-03-03,00:23:48.257952
4,0,0,0,0,2020-03-03,00:23:48.353695
4,55,71,38,38,2020-03-03,00:23:48.450439
4,136,66,47,47,2020-03-03,00:23:48.450439
4,53,66,61,61,2020-03-03,00:23:48.548176
4,130,64,53,53,2020-03-03,00:23:48.647913
4,42,63,54,54,2020-03-03,00:23:48.647913
4,131,62,46,46,2020-03-03,00:23:48.780554
4,41,60,48,48,2020-03-03,00:23:48.780554
4,43,56,51,51,2020-03-03,00:23:48.873307
4,128,59,51,51,2020-03-03,00:23:48.873307
4,48,61,48,48,2020-03-03,00:23:48.968053
4,137,66,46,46,2020-03-03,00:23:48.968053
4,135,68,49,49,2020-03-03,00:23:49.115658
4,47,63,52,52,2020-03-03,00:23:49.115658
4,135,67,49,49,2020-03-03,00:23:49.229353
4,46,61,53,53,2020-03-03,00:23:49.229353
4,130,66,49,49,2020-03-03,00:23:49.334073
4,46,63,48,48,2020-03-03,00:23:49.334073
4,131,65,47,47,2020-03-03,00:23:49.486664
4,44,58,51,51,2020-03-03,00:23:49.486664
4,45,58,50,50,2020-03-03,00:23:49.581411
4,132,64,47,47,2020-03-03,00:23:49.581411
4,46,58,50,50,2020-03-03,00:23:49.670191
4,128,62,52,52,2020-03-03,00:23:49.670191
4,53,66,45,45,2020-03-03,00:23:49.791848
4,136,69,49,49,2020-03-03,00:23:49.791848
4,133,67,47,47,2020-03-03,00:23:49.920504
4,47,62,49,49,2020-03-03,00:23:49.920504
4,136,72,47,47,2020-03-03,00:23:50.031207
4,51,68,49,49,2020-03-03,00:23:50.031207
4,137,69,48,48,2020-03-03,00:23:50.169836
4,52,64,49,49,2020-03-03,00:23:50.169836
4,51,66,47,47,2020-03-03,00:23:50.307469
4,136,69,48,48,2020-03-03,00:23:50.307469
4,134,65,48,48,2020-03-03,00:23:50.404211
4,48,58,51,51,2020-03-03,00:23:50.404211
4,130,59,48,48,2020-03-03,00:23:50.483020
4,45,55,49,49,2020-03-03,00:23:50.483020
4,133,63,47,47,2020-03-03,00:23:50.573777
4,48,57,52,52,2020-03-03,00:23:50.573777
4,53,63,47,47,2020-03-03,00:23:50.690443
4,136,67,49,49,2020-03-03,00:23:50.690443
4,45,55,48,48,2020-03-03,00:23:50.828078
4,129,60,48,48,2020-03-03,00:23:50.828078
